id,symbol,name,activated_at,timestamp,coingecko_url
ondo-defai,ondoai,Ondo DeFAI,1737804841,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/ondo-defai
tmc-corp,tmc,TMC Corp,1737804522,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/tmc-corp
frens-ai,fren,Frens.ai,1737794999,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/frens-ai
gold-token,gldt,Gold Token,1737793228,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/gold-token
price-ai,priceai,Price Ai,1737792767,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/price-ai
cainam,cainam,Cainam,1737792506,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/cainam
bee-trade-finance,btf,Bee Trade Finance,1737791710,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/bee-trade-finance
business-alliance-coin,bac,Business Alliance Coin,1737791212,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/business-alliance-coin
agent-dora,ad,Agent DORA,1737790677,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/agent-dora
nox,nox,NOX,1737790040,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/nox
onyx-arches,oxa,Onyx Arches,1737789580,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/onyx-arches
built-different,built,Built Different,1737788832,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/built-different
noon-usn,usn,Noon USN,1737788248,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/noon-usn
buildx,buildx,BuildX,1737788014,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/buildx
king-assad-game,king,King Assad Game,1737787414,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/king-assad-game
eolas,eolas,Eolas ☴,1737786793,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/eolas
meshchain-coin,mcc,MeshChain Coin,1737786321,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/meshchain-coin
neuravox,$vox,Neuravox,1737785789,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/neuravox
fear-of-missing-out,fomo,Fear of Missing Out,1737784530,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/fear-of-missing-out
edwin,edwin,Edwin,1737783342,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/edwin
made-in-america,mia,Made In America,1737783057,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/made-in-america
panterai,panterai,PanterAI,1737755445,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/panterai
artificial-isle-clams,clams,Artificial Isle Clams,1737747448,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/artificial-isle-clams
bear-in-bathrobe,bib,Bear In Bathrobe,1737747003,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/bear-in-bathrobe
emoneytoken,EMYC,E Money Network,1737746797,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/emoneytoken
bsop,bsop,Bsop,1737746584,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/bsop
ninja-pump,ninjapump,Ninja Pump,1737746407,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/ninja-pump
dogcoin-2,dcoin,Dogcoin,1737744627,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/dogcoin-2
ascia,ascia,ASCIA,1737744400,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/ascia
dtrxbt-by-virtuals,dtrxbt,DTRXBT by Virtuals,1737744027,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/dtrxbt-by-virtuals
you-held,pov,You Held,1737743494,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/you-held
cgai,cgai,CGAI,1737743255,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/cgai
miaocoin,miao,MIAOCoin,1737741923,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/miaocoin
alon,alon,Alon,1737721295,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/alon
white-mountain-ermine,ermine,White Mountain Ermine,1737717810,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/white-mountain-ermine
agora-by-virtuals,agora,Agora by Virtuals,1737717594,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/agora-by-virtuals
sosovalue,soso,SoSoValue,1737717379,2025-01-27T14:56:55.308992,https://www.coingecko.com/en/coins/sosovalue
