timestamp,long_size,short_size,total_size
2025-01-24 09:29:10.665358,211839.57663121,101089.43714627,312929.01377748
2025-01-24 09:39:32.096085,96478.59386736,93851.08699403,190329.68086139
2025-01-24 09:49:56.294282,90226.39820882,123628.16409849002,213854.56230731003
2025-01-24 10:00:18.410475,130452.08955543,190906.50457878,321358.59413421
2025-01-24 10:10:48.196737,695408.7910035,273139.67121413,968548.46221763
2025-01-24 10:21:10.727773,729071.1208039401,175663.36868302,904734.48948696
2025-01-24 10:31:33.780162,89934.53546788,745543.2752480899,835477.8107159699
2025-01-24 10:41:55.727759,795496.27905158,970849.62749742,1766345.906549
2025-01-24 10:52:17.639351,308968.17963151,2114111.15950124,2423079.339132749
2025-01-24 11:03:22.522162,189004.96083699,181317.4334564,370322.39429339
2025-01-24 11:14:04.375761,495492.6489893,84012.73952154,579505.38851084
2025-01-24 11:24:32.732787,1073561.20637087,128876.47801103,1202437.6843819
2025-01-24 11:34:56.402582,1059989.16585418,127264.4618183,1187253.62767248
2025-01-24 11:45:20.176219,2130443.66448236,73302.5420647,2203746.20654706
2025-01-24 11:55:40.553805,1969224.08164665,137047.51670278,2106271.59834943
2025-01-24 12:06:01.412616,163816.01473352,261412.09955481,425228.11428833
2025-01-24 12:16:34.392784,196853.10127234,162325.8310177,359178.93229004
2025-01-24 12:19:45.661759,320192.11530663003,110575.95121067,430768.0665173
2025-01-24 12:30:13.075926,218436.48855907,177336.73391805,395773.22247712
2025-01-24 12:40:33.796950,91502.63275880998,287700.53503245,379203.16779126
2025-01-24 12:50:42.043052,62934.359194920005,343200.10494926,406134.46414418
2025-01-25 08:07:05.528365,140720.75511601,223553.15392629,364273.90904229996
2025-01-25 08:17:37.229018,341820.41971700994,69726.79839024,411547.21810724994
2025-01-25 08:28:26.561017,118200.6792084,161078.09828674,279278.77749514
2025-01-25 08:38:32.778763,131802.27801846,130144.39238552001,261946.67040398
2025-01-25 08:48:41.660924,74302.45201904999,180665.60542235005,254968.05744140004
2025-01-25 08:58:54.138201,20131.90565728,215713.40304451002,235845.30870179003
2025-01-25 09:09:28.570000,32323.897881219993,378437.45565876,410761.35353997996
2025-01-25 09:19:53.908033,48839.78598848,179338.46620088,228178.25218936
